['0.0000000e+00', '-2.4640414e+01', '-2.2030976e+01', '-1.9510388e+01', ' 1.8649014e+01', ' 2.1203944e+01', ' 1.3700366e+01', '-4.2758080e+00', '-2.0418123e+01', '-2.1096571e+01', ' 2.4289226e+00', ' 1.3073669e+01', ' 2.0202992e+01', '-1.0985094e+01', '-1.5342172e+01', ' 1.4258494e+01', '-2.3354194e+01', ' 1.6342908e+01', ' 2.1026177e+01', '-2.5830642e+01', '-1.1718194e+01', ' 1.4745395e+01', '-1.6029560e+01', '-2.6063784e+01', '-2.6226003e+00', ' 3.9510372e+00', ' 2.3072328e+01', ' 1.1529731e+01', ' 1.9255641e+01', ' 1.1757206e+01', ' 2.0871262e+01', '-1.5949339e+01', '-1.6140329e+01', '-1.5378682e+01', ' 1.9163095e+01', ' 2.1181032e+01', '-1.1696700e+01', '-1.2575394e+01', ' 1.9677634e+01', '-1.2664680e+01', ' 2.5111780e+01', ' 2.0436443e+01', ' 1.5171390e+01', ' 9.1874551e+00', ' 6.4693881e+00', ' 8.3270238e+00', ' 1.2783642e+01', ' 1.7693443e+01', ' 8.2788714e+00', ' 1.7612711e+01']
['1.3073669e+01', '-5.3025569e+00', '-2.1266537e+01', '-2.9050736e+01', '-2.6918194e+01', ' 2.8932236e+01', ' 2.4474590e+01', '-1.3914991e+01', '-3.0794743e+01', ' 1.5044008e+01', '-3.7114122e+00', ' 0.0000000e+00', ' 2.4076110e+00', '-1.6215646e+01', ' 8.0925724e-01', '', '', '', '', '', ' Inf', ' 1.6966286e+01', ' 4.8677728e+00', ' 2.3431901e+01', '-2.2160134e+01', '-4.5438514e+00', ' 9.4324532e+00', '-5.5062002e+00', '-8.5299785e+00', '-1.9230015e+01', ' 2.5563554e+01', '-1.5341958e+01', '-1.2495064e+01', ' 3.2797430e+01', '-2.3549243e+01', '-6.5809990e+00', '-7.3323288e+00', ' 5.2790809e+00', '-2.9912083e+01', ' 1.8383140e+01', ' 1.7160786e+01', '-1.2552764e+00', '-1.0713405e+01', ' 4.3599678e-01', '-6.8413707e+00', ' 1.8410439e+01', '-9.9966451e+00', '-2.4664131e+01', '-1.9197409e+01', '-8.7086088e+00', '-3.0849981e+01', '-2.4235331e+01', ' 8.5759743e+00', '-1.2215946e+01', ' 9.8897874e+00']
['2.0202992e+01', '-3.2403784e+01', '-2.0216684e+01', '-2.2489534e+01', '-8.7911549e+00', ' 2.8136617e+01', ' 2.9933247e+01', '-2.8745054e+01', '-3.4403458e+01', '-1.5548181e+01', '-2.0710324e+01', ' 2.4076110e+00', ' 0.0000000e+00', '-2.7095278e+01', '-7.8165585e+00', ' 2.6416722e+01', '-3.3977100e+01', ' 3.1022350e+01', '-1.5805147e+01', '-1.5592292e+01', '-3.0830577e+01', ' 7.1755206e+00', '-1.2605441e+00', '-3.1642671e+01', '-2.7516411e+01', ' 3.3093810e+01', '-1.6024858e+01', '-2.2751080e+01', ' 2.1112753e+01', '-1.4506311e+01', '-1.4400838e+01', '-1.3633337e+01', '-5.0026474e+00', ' 1.9844731e+01', ' 2.0362336e+01', ' 1.7966984e+01', '-2.9915833e+00', ' 1.2001954e+01', ' 3.4565891e+01', '-1.7109838e+01', ' 2.5064116e+01', ' 2.6062790e+01', ' 2.0610681e+01', '-6.1600821e+00', ' 1.5703373e+01', '-1.9391360e+01', '-6.2010063e+00', ' 3.0422021e+01', ' 8.4138351e+00', ' 6.1630792e+00']
['-1.0985094e+01', '-8.7546650e+00', '-7.6438246e+00', ' 4.2804285e+00', '-1.7786210e+01', '-2.8418344e+01', ' 1.0595730e+01', ' 3.0867440e+01', ' 2.3445634e+01', '-2.4632950e+01', '-6.4373314e+00', '-1.6215646e+01', '-2.7095278e+01', ' 0.0000000e+00', '-2.1379559e+01', '-2.8192189e+01', ' 2.6714433e+01', '-2.0623753e+01', '-1.0519438e+01', ' 2.3199260e+01', ' 3.1712823e+01', ' 3.1037238e+01', '-1.1741115e+01', ' 2.5862365e+01', ' 2.9258006e+01', '-2.7220172e+01', ' 8.5932267e-01', ' 7.6249047e+00', '-3.1502497e+01', ' 2.3604268e+01', '-3.6928868e+00', '-2.0484500e+01', '-2.2067474e+01', ' 1.0526250e+01', '-1.0214606e+01', ' 1.6749643e+01', '-2.5967961e+01', ' 4.8113302e+00', '-2.3560547e+01', '-1.0764449e+01', '-1.9199269e+01', ' 4.6221742e+00', ' 1.2140940e+01', '-5.9988725e-01', ' 1.5036382e+01', ' 2.4321731e+01', ' 1.5391298e+01', '-2.4445352e+01', '-3.0111893e+00', '-1.7104398e+01']
['-1.5342172e+01', ' 2.0611903e+01', ' 1.4971282e+01', ' 5.1352665e+00', ' 5.9377847e+00', '-1.2219772e+01', '-6.0454300e+00', '-2.7197579e+01', ' 2.5303671e+01', ' 1.7803706e+01', ' 4.4721540e+00', ' 8.0925724e-01', '-7.8165585e+00', '-2.1379559e+01', ' 0.0000000e+00', '-1.4955384e+00', '-3.2209245e+00', '-1.9800595e+01', '-2.2331171e+01', ' 1.8399860e+01', ' 3.4988339e+00', '-1.8482283e+01', ' 1.5280902e+01', '-2.5318434e+00', '-2.3401247e+01', ' 1.3836255e+01', ' 3.6989179e+00', ' 1.4156058e+01', ' 1.7186893e+00', '-2.4927809e+01', ' 4.8191611e+00', ' 2.7270826e+01', ' 2.7079198e+01', ' 1.9984918e+01', '-2.4210149e+01', '-2.4292820e+01', ' 2.6867267e+01', '-1.3549884e+00', '-2.0298913e+01', ' 3.0149733e+01', '-1.4742018e+01', '-2.0965495e+01', '-1.7866180e+01', '-8.0425336e+00', '-2.3825421e+01', '-1.9689750e+01', '-1.6257057e+01', '-1.4388081e+01', '-1.7190893e+01', '-1.6630407e+01']
['1.4258494e+01', '-6.7691890e+00', '-1.7265688e+01', '-2.0385954e+01', '-1.1330587e+01', ' 2.8463239e+01', ' 2.1727160e+01', '-2.3615042e+01', '-3.2499825e+01', ' 1.2309285e+01', ' 6.9886173e+00', '', '', '', '', '', ' Inf', ' 2.6416722e+01', '-2.8192189e+01', '-1.4955384e+00', ' 0.0000000e+00', ' 4.6707935e+00', ' 1.9973111e+01', ' 2.1320211e+01', '-1.9689182e+01', '-7.4568772e-01', ' 8.0690910e+00', ' 5.8974720e+00', '-1.3083192e+01', '-2.5537288e+01', ' 2.9530021e+01', '-5.9077351e+00', '-3.6908411e+00', ' 3.0617023e+01', '-2.1922207e+01', '-1.1283812e+00', '-1.0850071e+01', '-1.4294299e+00', '-2.5005408e+01', ' 1.5808544e+01', ' 1.7834249e+01', ' 2.6902333e-01', '-7.1951557e+00', ' 2.2201682e+01', '-8.1281161e+00', ' 2.3478294e+01', '-1.1916932e+00', '-9.9062713e+00', '-1.7460456e+01', '-1.0279614e+01', '-2.8258868e+01', '-1.9314310e+01', ' 1.2373479e+01', '-9.7300092e+00', ' 2.0402044e+01']
['-2.3354194e+01', ' 3.1417047e+01', ' 1.4030331e+01', ' 2.8204018e+01', ' 2.4559610e+01', '-2.8665947e+01', '-2.7430375e+01', ' 2.0682644e+01', ' 1.6758060e+01', ' 2.5274442e+01', ' 2.0538103e+01', ' 1.6966286e+01', '-3.3977100e+01', ' 2.6714433e+01', '-3.2209245e+00', ' 4.6707935e+00', ' 0.0000000e+00', '-1.9860726e+01', '-7.9958996e+00', ' 1.9343408e+01', ' 3.1700813e+01', ' 7.2624323e+00', ' 1.6434779e+01', ' 3.2067200e+01', ' 1.5822796e+01', '-1.4589173e+01', ' 2.0313820e+01', ' 2.8951096e+01', '-2.2824858e+01', '-1.8906790e+00', ' 1.3721926e+01', '-9.9836431e+00', '-5.6009033e+00', '-1.2792658e+01', '-2.4520434e+01', '-2.0106585e+01', '-6.2970486e+00', ' 1.8506419e+01', '-3.0805739e+01', ' 6.9581215e+00', '-2.9968875e+01', '-2.6890593e+01', '-1.9933759e+01', '-2.0479890e+01', '-1.4045432e+01', ' 7.4259280e-01', '-2.0736404e+01', '-3.2721772e+01', '-1.8079043e+01', '-2.0803053e+01']
['1.6342908e+01', '-1.2897052e+01', '-9.7927930e+00', '-2.6202624e+01', '-1.4761825e+00', ' 2.6346060e+01', ' 1.0419399e+01', '-8.3793872e+00', '-1.8116677e+01', '-1.3085357e+01', '-9.9044816e-01', ' 4.8677728e+00', ' 3.1022350e+01', '-2.0623753e+01', '-1.9800595e+01', ' 1.9973111e+01', '-1.9860726e+01', ' 0.0000000e+00', ' 3.0576549e+01', '-2.4897083e+01', '-3.0519852e+01', ' 2.1186592e+01', '-9.6076646e+00', '-1.8087420e+01', ' 2.0084230e+01', ' 1.6087460e+00', '-1.0923266e+01', '-1.0566204e+01', ' 1.6555931e+01', ' 8.1858138e+00', '-1.1853629e+01', '-2.6891221e+01', '-2.6357164e+01', ' 1.9917932e+01', ' 1.7322197e+01', ' 6.7375222e+00', '-2.3038406e+01', ' 1.7566807e+01', ' 2.7459094e+01', '-3.6117680e+00', ' 1.7214363e+01', ' 1.5745065e+01', ' 2.9681438e+01', '-1.2228004e+01', ' 1.2025350e+01', '-1.3502638e+01', ' 2.5944256e+00', ' 1.8038610e+01', '-1.5631371e+00', ' 1.9364456e+01']
['2.1026177e+01', ' 2.3464287e+00', '-5.3476261e+00', '-2.0554356e+01', '-1.1162495e+01', ' 2.3700241e+01', '-3.9343630e-01', ' 2.2039686e+01', '-8.4786187e+00', '-8.0949283e+00', ' 1.7846178e+01', ' 2.3431901e+01', '-1.5805147e+01', '-1.0519438e+01', '-2.2331171e+01', ' 2.1320211e+01', '-7.9958996e+00', ' 3.0576549e+01', ' 0.0000000e+00', '-2.8826103e+01', '-8.2596202e+00', ' 1.6906709e+01', '-2.4272672e+01', '-9.1864099e+00', ' 3.0070715e+01', '-2.5242318e+01', '-2.0820106e+00', '-4.7548992e+00', ' 2.5613658e+01', ' 1.9295979e+01', ' 7.0657748e+00', '-2.7213667e+01', '-2.8005039e+01', '-2.3903180e+01', ' 1.9294638e+01', ' 1.4836297e+01', '-2.7275296e+01', '-1.8605877e+01', '-6.5246280e+00', '-1.5707328e+01', ' 1.6672362e+01', '-7.9906769e+00', ' 1.4049738e+01', '-2.7253316e+00', ' 3.6204740e+00', ' 2.1619176e+00', ' 1.1870896e+01', '-1.5106243e+00', '-6.2185906e+00', ' 2.2363003e+01']
['-2.5830642e+01', ' 1.5751293e+01', ' 7.0526940e+00', ' 2.7957052e+01', ' 1.4091109e+01', '-2.8823495e+01', '-1.2625714e+01', ' 1.5185492e+01', ' 2.8041187e+01', ' 1.0420920e+01', '-8.5594406e+00', '-2.2160134e+01', '-1.5592292e+01', ' 2.3199260e+01', ' 1.8399860e+01', '-1.9689182e+01', ' 1.9343408e+01', '-2.4897083e+01', '-2.8826103e+01', ' 0.0000000e+00', ' 3.1533997e+01', '-7.0286562e+00', ' 2.2875703e+01', ' 3.1372508e+01', ' 2.9652849e-02', ' 2.0718436e+00', ' 1.8500789e+00', ' 1.6997954e+01', '-2.9065581e+01', '-1.1168883e+01', '-6.0012512e+00', ' 2.7469522e+01', ' 2.5988845e+01', ' 2.4268622e+01', '-2.6786668e+01', '-2.5571679e+01', ' 1.2286875e+01', ' 1.6552318e+01', '-2.0462531e+01', ' 1.6696753e+01', '-2.9847361e+01', '-2.0328019e+01', '-1.7012282e+01', '-1.6015377e+00', '-7.9135701e+00', ' 3.7214496e+00', '-1.3341572e+01', '-1.6932841e+01', '-1.1982884e+01', '-2.6067878e+01']
['-1.1718194e+01', ' 1.2150864e+01', ' 7.1413881e+00', ' 2.9715017e+01', ' 2.0410962e+01', '-2.6433688e+01', ' 1.4483507e+01', ' 3.0421951e+01', ' 2.6930963e+00', ' 1.5517802e+01', ' 7.2748858e+00', '-4.5438514e+00', '-3.0830577e+01', ' 3.1712823e+01', ' 3.4988339e+00', '-7.4568772e-01', ' 3.1700813e+01', '-3.0519852e+01', '-8.2596202e+00', ' 3.1533997e+01', ' 0.0000000e+00', ' 2.6662158e+01', ' 1.6505955e+01', ' 2.8344269e+01', ' 4.9375689e-01', '-8.9349986e+00', ' 1.7677288e+01', ' 2.5009013e+01', '-2.9272124e+01', '-5.3534480e+00', ' 1.3449909e+01', ' 1.2368413e+01', ' 1.4965751e+01', ' 6.5530676e+00', '-1.7542707e+01', ' 1.3918786e+00', ' 2.7494231e+00', '-5.6505479e-01', '-3.0388637e+01', ' 1.1668884e+01', '-2.4257934e+01', '-1.1339112e+01', '-6.2451621e+00', '-1.8019623e+01', '-1.6175315e+01', '-1.4369127e-01', '-1.9374823e+01', '-2.0102122e+01', '-1.5647083e+01', '-2.4006617e+01']
['1.4745395e+01', '-1.8082063e+01', '-2.2170374e+01', '-2.2810764e+01', '-1.0288671e+01', ' 1.7691235e+01', ' 3.0167240e+01', ' 3.4819609e+01', '-1.9357362e+01', '-2.2879928e+01', ' 1.3887700e+01', ' 9.4324532e+00', ' 7.1755206e+00', ' 3.1037238e+01', '-1.8482283e+01', ' 8.0690910e+00', ' 7.2624323e+00', ' 2.1186592e+01', ' 1.6906709e+01', '-7.0286562e+00', ' 2.6662158e+01', ' 0.0000000e+00', '-2.7223058e+01', '-1.9300393e+01', ' 2.3169291e+01', '-2.5543429e+01', '-3.3815443e-01', ' 8.4822075e+00', '-9.7552571e+00', ' 1.9634005e+01', '-6.4698206e+00', '-2.8566522e+01', '-2.4874433e+01', ' 2.1065732e+01', ' 1.9395094e+01', ' 2.5964316e+01', '-2.6412962e+01', ' 8.2737078e+00', '-1.0096060e+01', '-6.4744648e+00', ' 1.4076056e+01', ' 1.4759571e+01', ' 3.0733675e+01', '-2.1397554e+01', '-1.4954914e+01', '-1.0271861e+01', ' 2.0414914e+01', ' 5.1191997e+00', '-1.1745591e+01', ' 9.8805478e+00']
['-1.6029560e+01', ' 2.0829438e+01', ' 2.4651962e+01', ' 2.7296927e+01', ' 2.4823343e+01', '-2.0059080e+01', '-1.5466275e+01', '-2.3130013e+01', ' 8.0471850e+00', ' 2.8972341e+01', '-8.1197303e+00', '-5.5062002e+00', '-1.2605441e+00', '-1.1741115e+01', ' 1.5280902e+01', ' 5.8974720e+00', ' 1.6434779e+01', '-9.6076646e+00', '-2.4272672e+01', ' 2.2875703e+01', ' 1.6505955e+01', '-2.7223058e+01', ' 0.0000000e+00', ' 1.6927373e+01', '-2.2317894e+01', ' 2.5672818e+01', ' 1.3424195e+01', ' 1.7526213e+01', '-1.8543940e+01', '-2.0557547e+01', ' 9.7606109e+00', ' 2.3624491e+01', ' 2.4881248e+01', ' 4.5582226e+00', '-2.1992149e+01', '-2.2235895e+01', ' 2.2472991e+01', ' 1.8631624e+01', '-2.0847155e+00', ' 2.2883231e+01', '-2.0312057e+01', '-1.0122429e+01', '-1.5574916e+01', '-1.2318835e+01', '-1.0735003e+01', '-2.5976850e+00', '-2.4248217e+01', '-1.0443112e+00', '-1.0382746e+01', '-2.2888550e+01']
