['0.0000000e+00', ' 2.1398472e+01', '-3.7991027e+00', ' 2.4707781e+01', '-1.9558276e+01', '-2.6100865e+01', '-1.8511861e+01', '-4.9896885e-01', '-1.6954116e+01', '-1.6174434e+01', '-6.7818098e+00', ' 3.3549935e+00', ' 1.8039066e+01', '-1.9683229e+01', '-1.8339842e+01', ' 9.3797252e+00', '-4.5513085e+00', ' 2.7160444e+01', '-9.6700733e+00', ' 3.4231604e+00', ' 1.9441361e+00', '-7.9816084e+00', ' 1.1454542e+01', '-2.2153420e+01', ' 1.9360816e+01', ' 5.0452188e-01', ' 2.5429889e+01', ' 7.5591115e+00', '-1.1047686e+01', ' 2.3360861e+00', ' 1.7711948e+01', ' 1.1516223e+01', ' 3.4472066e+00', '-9.2468938e-01', ' 1.0353789e+01', ' 1.5884841e+01', ' 6.4962815e+00', '-2.1013385e+01', '-5.0142027e+00', '-1.7470591e+01', ' 1.5553976e+00', ' 5.4802618e+00', ' 2.6787195e+01', ' 7.7050907e-01', ' 1.3534013e+01', ' 3.1925250e+00', ' 1.9347849e+01', ' 2.4391411e+01', ' 6.9701473e+00', '-5.4837915e+00', ' 7.2659437e+00', ' 1.6718847e+01', ' 1.3116689e+01', '-2.1007919e+00', ' 7.4734441e-01', ' 5.6625548e+00', ' 3.5760561e+00', '-1.0356454e+01', ' 3.7326893e+00', ' 1.8675322e-01', '-6.4663321e-01', '-2.1895984e+01', ' 1.0036899e+01', ' 1.3557643e+01', ' 1.8314780e+01', ' 1.2107075e+01', '-8.1425216e+00', '-1.4547388e+00', ' 5.3881221e+00', '-2.7493031e+00', '-5.9073307e+00', ' 5.9155658e+00', ' 1.7802799e+00', '-4.1589803e+00', ' 1.2212500e+01', ' 2.5308937e+00', ' 1.8536456e+01', ' 1.1679953e+01', ' 1.4439611e+01', '-2.7713441e+00', ' 2.4502672e+01', ' 2.0349897e+01', ' 8.4990469e+00', '-1.1918071e+00', '-1.4422591e+01', '-9.8385641e+00', '-6.7394479e+00', ' 1.2375461e+01', ' 6.2942815e+00', '-4.5135676e+00', ' 1.2640773e+01', '-6.0483138e+00', ' 1.1128604e+01', ' 1.5745953e+00', ' 7.3302478e+00', ' 1.2455999e+01', ' 1.8949804e+01', '-3.5675527e+00', '-1.6780453e+00', '-1.0862884e-01']
['2.5429889e+01', ' 2.9844198e+01', ' 1.3773623e+01', '-1.3062605e+01', '-2.4795926e+01', '-2.3122702e+01', '-6.4587077e+00', ' 3.1421430e+01', ' 1.7996116e+01', ' 6.4280369e+00', '-3.9259957e+00', '-1.0993322e+01', '-2.7246887e+00', ' 1.8432997e+01', ' 1.9355315e+01', '-2.8275554e+00', ' 1.8108779e+01', '-2.2582935e+01', '-2.5392734e+01', ' 1.0502356e+01', '-9.2467498e+00', ' 2.1360568e+01', ' 1.7901397e+01', ' 2.8467239e+01', '-6.2704251e+00', '-5.5542497e+00', ' 0.0000000e+00', '-2.8186570e+01', '-2.1507383e+01', ' 1.3612428e+01', '-6.2591764e+00', ' 5.3171138e+00', '-1.9683380e+01', ' 2.8678999e+01', '-2.8205515e+01', ' 1.3923712e+00', '-1.5216942e+00', '-1.3035536e+01', ' 2.3016549e+01', '-1.2783473e+01', '-5.4852510e-01', '-1.9479414e+01', '-1.9307058e+01', ' 2.9964761e+00', ' 3.3933456e+01', ' 2.3285268e+01', '-3.1167278e+00', '-1.4581617e+01', '-2.7301391e+01', ' 3.1306876e+01', '-1.4562579e+01', ' 8.7267038e+00', ' 1.5912990e+01', ' 3.0825410e+01', '-1.7967141e+01', '-2.4609323e+01', ' 2.3903020e+01', ' 2.9430283e+01', '-3.0339236e+01', '-2.4525973e+01', '-3.0570286e+01', '-1.8851182e+01', '-1.0890705e+01', ' 1.2601761e+00', ' 2.6337541e+01', '-2.4946054e+01', '-2.7174711e+01', '-1.5750789e+01', '-1.2986562e+01', '-7.2811459e+00', '-4.5613161e+00', '-7.4519370e+00', '-2.1113382e+01', '-8.9761863e+00', '-2.4239204e+01', '-2.1948469e+01', ' 1.7779862e+01', ' 8.9906063e+00', '-1.1925540e+01', '-1.1563241e+01', '-3.4942387e+01', ' 2.6448239e+01', '-1.5412556e+01', ' 3.5448678e+01', ' 1.6809640e+01', '-1.9290002e+01', ' 2.3262764e+01', '-1.5824958e+01', '-1.6526869e+01', '-5.0793643e+00', ' 2.7082161e+01', ' 1.0126145e+01', ' 1.3854538e+01', '-3.0490618e+01', ' 1.3806717e+01', '-3.0147462e+01', '-2.4762349e+00', '-2.7780889e+01', ' 2.2995809e+01', '-7.5445159e+00']
['7.5591115e+00', '-2.6162379e+01', '-4.7697268e+00', '-1.6432474e+01', '-3.4639266e-01', '-2.5979258e+00', '-7.0675217e+00', '-2.0432137e+01', ' 2.0933529e-02', '-2.7990192e+01', '-1.3908558e+01', '-1.9788140e+00', ' 6.9567484e+00', '-7.6644560e+00', ' 2.7917878e+00', '-1.0456864e+01', '-2.7218574e+01', '-7.5556841e+00', '-2.2155052e+01', ' 8.2374268e+00', '-7.6826623e+00', '-2.6737514e+01', ' 4.6332203e+00', ' 1.0566709e+01', ' 5.0977034e+00', ' 2.7475862e+01', '-2.8186570e+01', ' 0.0000000e+00', ' 8.7293949e+00', '-1.4342369e+01', ' 1.0561606e+01', '-7.5521951e+00', '-1.6728854e+01', '-2.1835298e-01', '-2.4797594e+01', ' 3.2686116e+01', ' 2.5270552e+01', ' 2.0161714e+01', ' 1.0046812e+01', '-2.5579658e+00', '-1.2441312e+00', ' 1.3160463e+01', '-1.7075337e+01', ' 2.1140674e+01', ' 1.3011800e+01', '-3.8778707e+00', ' 3.3029914e+01', '', '', '', '', '', ' Inf', '-4.5548162e-01', ' 1.1266360e+00', '-2.0681465e+01', ' 2.5017860e+01', '-9.3443912e+00', ' 2.6069455e+01', '-2.2310609e+01', '-1.2071884e+01', '-1.1997227e+01', ' 1.4694489e+01', ' 2.1416307e+01', '-2.6915188e+01', '-1.2998629e+01', ' 2.2741483e+01', '-1.6018368e+01', '-1.3341987e+01', ' 9.0500437e+00', '-1.4626479e+01', '-2.8405001e+01', ' 2.4069441e+01', ' 1.5514138e+01', '-1.9995483e+01', ' 2.6088146e+01', ' 2.3953475e+01', ' 1.9053297e+01', '-7.6999368e+00', '-9.3046713e+00', '-2.4623094e+00', '-2.1006542e+00', ' 3.2375582e+00', '-3.6455132e+01', ' 2.1198642e+01', '-1.0587127e+01', '-1.4429678e+01', '-1.0499709e+01', ' 2.7519340e+01', ' 2.0813044e+01', '-2.2230489e+01', ' 3.4270599e+01', '-2.0364878e+00', '-8.9990489e+00', '-4.6611492e+00', ' 2.1464243e+00', '-5.2305394e+00', '-1.3533132e+01', ' 2.2644894e+01', '-3.0986217e+01', '-2.2947211e+01', '-1.8904888e+01', '-2.4450182e+01', ' 2.5477827e+01', '-1.1909740e+01']
['-1.1047686e+01', '-5.9740509e+00', '-2.0800287e+01', ' 1.2610763e+01', ' 2.5551941e+01', ' 2.1735319e+00', '-8.7642615e+00', '-8.4801427e+00', '-1.5026520e+01', ' 2.0123798e+01', ' 2.7552378e+01', ' 9.4836814e+00', ' 2.5154880e+01', '-1.6702669e+01', '-6.8483334e+00', ' 6.1964878e+00', ' 2.3635740e+01', '-9.2531677e+00', ' 2.9292323e+01', ' 1.9802538e+00', ' 5.4413979e+00', '-1.0019670e+01', '-2.6470848e+00', ' 2.2349519e+01', '-1.9319886e-01', '-2.9006358e+01', '-2.1507383e+01', ' 8.7293949e+00', ' 0.0000000e+00', ' 6.4628121e+00', '-5.5556004e+00', ' 9.5043325e+00', ' 2.3567485e+01', ' 2.6218612e+01', ' 1.9530448e+01', ' 9.9922817e+00', ' 1.3360376e+01', ' 3.8151857e+00', ' 8.5938982e+00', ' 3.1588334e+01', '-5.6954510e+00', '-1.1741203e+01', ' 1.5008758e+01', ' 3.1325356e+01', '-5.3124827e+00', '-3.9962311e+00', '-2.4818086e+01', '-2.7082000e+00', '-2.4140527e+01', ' 4.9191860e+00', '-1.6307735e+01', '-1.5787488e+01', '-3.0364116e+01', ' 4.0786316e+00', '-4.6409712e+00', '-5.5402846e+00', '-1.4407235e+01', ' 1.7546093e+01', '-1.5861674e+01', '-2.4704093e+01', '-1.9411031e+01', ' 5.8801557e+00', '-6.8178469e+00', ' 7.0619301e+00', ' 1.1141024e+01', '-2.4138786e+00', '-2.6197016e+01', '-3.5329554e+00', ' 9.5329908e+00', ' 2.4795667e+01', '-7.0246682e+00', '-9.6872915e+00', '-1.4656280e+01', '-1.2430221e-01', ' 4.3013045e+00', ' 6.4761451e+00', ' 2.3974564e+01', ' 2.3822300e+01', '-1.7025733e+01', '-3.2400784e+00', '-1.4161393e+01', ' 2.3066837e+01', ' 2.1139294e+00', '-1.0291608e+01', ' 1.6044907e+01', '-2.5896206e+01', ' 6.0336790e+00', ' 5.2409435e+00', ' 1.0588909e+01', ' 1.8113565e+01', ' 1.9425042e+01', '-6.1056822e+00', ' 6.2723707e-01', '-1.5491142e+01', ' 1.3857990e+01', '-5.4298160e+00', ' 1.3442991e+01', ' 1.2636440e+01', '-1.8124096e+01', ' 7.8567416e+00']
['2.3360861e+00', '-1.0174008e+01', ' 1.1682647e+01', ' 7.7416605e+00', '-1.4877429e+01', ' 5.5925270e+00', ' 5.1295787e+00', ' 1.2503483e+01', '-1.2485960e+01', ' 6.2699812e+00', '-1.1335053e+01', '-1.0706020e+00', '-1.3190572e+01', ' 2.6295416e+01', '-3.0905962e+01', '-1.4517656e+01', ' 2.1571157e+01', '-2.8639582e+00', '-1.7740672e+01', '-1.5142471e+01', ' 7.9022525e+00', '-2.4864802e+01', '-2.1697917e+01', ' 2.0630923e+01', ' 6.0463437e+00', ' 6.9314733e-01', ' 1.3612428e+01', '-1.4342369e+01', ' 6.4628121e+00', ' 0.0000000e+00', ' 1.7174284e+00', ' 1.3671569e+01', '-2.3299884e+01', ' 2.0410123e+01', ' 1.7401813e+01', '-5.6968349e+00', ' 7.1182021e+00', ' 1.9664303e+01', ' 1.4565649e+01', ' 3.8405417e+00', '-2.6443005e+01', '-4.7971937e-01', ' 4.9311817e+00', ' 1.6987769e+01', ' 2.4096118e+01', ' 1.8948934e+01', ' 2.9734006e+01', ' 7.2441986e-01', '-1.4996401e+01', ' 1.2445829e-01', ' 5.2765082e+00', '-4.1744830e+00', '-1.6074739e+01', '-2.0541249e+01', ' 3.3740719e+00', ' 5.2717542e+00', '-2.8240497e+00', ' 2.9876529e+01', '-5.9487766e+00', '-2.3718936e+01', '-7.8153550e+00', '-1.4161460e+01', ' 2.0383927e+01', '-1.7244138e+01', ' 3.4385585e+00', '-1.5324918e+00', '-1.6242851e+01', ' 3.0626657e+01', '-1.0471970e+01', '-1.6103193e+01', ' 1.9270587e+00', '-1.8968889e+01', ' 1.9897765e+00', '-1.0487610e+01', '-2.4511086e+01', '-2.8668628e+00', '-1.3717008e+01', ' 5.4936258e+00', '-3.1435644e+00', ' 6.8315318e+00', '-2.1024487e+00', ' 1.5084536e-01', ' 2.1411940e+01', '-1.1001212e+01', '-2.3041917e+01', '-1.9234049e+01', '-2.1202503e+01', '-1.2265342e+01', '-3.2879000e+00', ' 1.5121107e+01', ' 3.2109645e+01', '-2.3202867e+01', '-2.1159998e+01', '-1.6590495e+01', '-1.3529779e+01', '-2.3206394e+01', ' 1.0399832e+01', '-3.4183287e+00', '-2.0432596e+01', '-5.4893072e+00']
['1.7711948e+01', '-9.2666950e+00', '-1.1946655e+00', ' 2.4392627e+01', ' 1.4910853e+01', ' 1.6631265e+01', '-5.5015041e+00', '-5.8459791e+00', ' 2.1380895e+01', '-1.9139987e+01', ' 1.8940186e+00', ' 1.6568404e+01', ' 4.1110511e-01', ' 7.2069287e+00', '-1.2511518e+00', ' 2.1312412e+01', ' 1.0121987e+01', ' 7.8801186e+00', '-3.5783021e+00', ' 9.1293308e+00', ' 1.0746567e+01', '-9.8681176e-01', ' 6.7489175e+00', '-5.9061515e+00', ' 8.0489111e+00', '-1.0595757e+00', '-6.2591764e+00', ' 1.0561606e+01', '-5.5556004e+00', ' 1.7174284e+00', ' 0.0000000e+00', ' 1.0061748e+01', '-6.2965889e+00', ' 1.6445152e+01', '-7.8555217e+00', '-2.3805896e+01', ' 6.8212962e+00', ' 9.2863078e+00', '-7.1959886e-01', '-4.9995712e+00', ' 1.2936101e+01', ' 9.4643798e-01', '-4.3401178e+00', '-8.0761438e+00', ' 5.6742132e-01', ' 2.0562121e+00', ' 1.8876128e+00', '-6.1428327e+00', ' 1.1868607e+01', ' 3.4034707e+00', '-4.4968599e+00', ' 1.2629974e+01', ' 2.4148935e+00', '-9.0932702e+00', '-9.5722441e+00', '-7.6009421e+00', '-4.9233410e+00', ' 7.1800658e+00', ' 1.1212500e+01', ' 3.6140702e+00', ' 1.0191928e+01', '-2.3739349e+00', ' 3.1250002e+00', ' 1.7158735e+00', '-7.4864022e+00', '-2.4514131e+00', ' 9.5321468e+00', ' 2.3644409e+00', ' 2.0995089e+01', ' 8.7982492e-01', ' 8.3938536e+00', ' 4.5903431e+00', '-4.1496232e+00', ' 2.2369680e+00', ' 1.3748998e+01', '-7.9382838e+00', ' 1.3352592e+01', ' 3.0761447e+00', '-5.2193582e+00', ' 3.4813320e+00', '-9.9613113e+00', '-1.5539177e+01', '-8.5675907e+00', ' 1.0034363e+01', ' 1.1580179e+01', '-8.1036333e+00', ' 1.6719607e+01', ' 4.1165882e+00', ' 7.4662053e+00', ' 1.1149120e+01', ' 2.1301794e+01', ' 5.8729785e+00', ' 1.8868875e+01', ' 2.2166048e+01', '-1.0451307e+01', '-4.1045874e+00', ' 4.2391092e+00', '-6.0371016e+00', ' 2.7991589e+00', ' 1.1954405e+01']
['1.1516223e+01', ' 1.1899857e+01', '-1.3704508e+00', '-2.0936824e+01', '-1.4485568e+01', ' 1.3709051e+01', ' 1.2473394e+01', '-1.9935818e+01', '-1.5644879e+01', ' 1.7154234e+01', ' 2.7411601e+01', '-1.1417596e+01', '-1.3680389e+01', ' 1.4771181e+01', '-2.0729192e+01', ' 1.7280162e+01', '-8.5127052e+00', ' 7.1788869e+00', '-9.6493031e+00', ' 2.8174721e+01', ' 1.5239653e+01', '-1.6789437e+01', '-2.1536038e+01', ' 2.7749325e+01', '-8.6773233e+00', ' 8.6436947e+00', ' 5.3171138e+00', '-7.5521951e+00', ' 9.5043325e+00', ' 1.3671569e+01', ' 1.0061748e+01', ' 0.0000000e+00', '-2.5283727e+01', '-1.9066006e+01', '-7.2078609e-01', ' 7.8645146e+00', '-3.2274711e+01', '-7.0710172e+00', '-1.3271100e+01', ' 2.5967541e+01', '-2.3941425e+01', ' 3.1959582e+01', ' 2.9319243e+01', '-1.5266992e+01', '-9.8273962e+00', ' 1.2075127e+01', ' 2.6364626e+01', '-2.1139773e+01', ' 2.9267471e+01', '-7.3166984e+00', '-3.7532992e+00', ' 1.8871967e+01', ' 1.5544907e+01', ' 1.6846418e+01', ' 2.7203918e+01', ' 2.1638505e+01', '-7.3268751e+00', '-1.6974633e+01', ' 2.0226820e+01', '-1.0730189e+01', '-9.2486088e+00', ' 7.0302365e+00', '-1.5484317e+01', ' 1.2300007e+01', '-1.0716955e+01', ' 6.2378285e+00', '-2.4481391e+01', ' 9.5859514e+00', ' 2.2550030e+01', ' 1.6677599e+01', '-1.3883608e+01', ' 1.5111586e+01', '-5.5924261e+00', '-1.6092410e+00', '-1.0870181e+01', '-9.5343047e+00', '-1.0039033e+01', '-1.1146825e+01', '-9.3851846e+00', ' 2.0306748e+01', '-7.0728345e-01', '-1.9286924e+01', ' 2.9640352e+01', '-9.5917360e+00', ' 1.6074853e+01', '-1.9004437e+01', '-2.6239041e+01', ' 2.1903543e+01', ' 2.6019711e+01', '-2.3207291e+01', '-1.0312315e+01', '-8.8363255e+00', ' 9.0039528e+00', ' 1.8766595e+01', '-1.7631349e+01', '-1.4668163e+01', '-2.5578490e+01', '-2.4710230e+01', ' 2.5896872e+01', '-3.7080763e+00']
['3.4472066e+00', '-1.8430171e+01', '-3.0323015e+01', '-1.5053454e+01', ' 2.1471735e+01', '-1.5142762e+01', '-1.2241705e+01', ' 1.1651135e+01', ' 6.9673845e-02', ' 2.8500929e+01', '-4.1574232e+00', ' 2.4997262e+01', '-8.1404962e+00', '-2.3586081e+01', ' 2.3708004e+01', ' 2.6627005e+01', '-2.8189180e+01', '-1.6290268e+01', ' 7.0197811e+00', '-9.1245833e+00', '-7.2459737e+00', ' 2.3077211e+01', '-8.5047939e+00', '-2.0263127e+01', '-1.8479980e+01', ' 2.9759225e+01', '-1.9683380e+01', '-1.6728854e+01', ' 2.3567485e+01', '-2.3299884e+01', '-6.2965889e+00', '-2.5283727e+01', ' 0.0000000e+00', ' 1.9176223e+01', '-2.6621474e+01', '-2.4904375e+01', ' 1.6924969e+01', '-1.0244047e+01', '-1.9963268e+01', '-5.3721493e+00', '-7.5913112e+00', ' 1.0029764e+01', ' 2.4374770e+01', '-7.3978038e+00', '-2.8330637e+01', '-1.2439819e+00', '-1.3724861e+01', ' 2.5359019e+01', '-3.6988418e+00', '-2.0432454e+01', ' 1.8913465e+01', ' 5.0471353e+00', ' 1.0790822e+01', '-4.3217984e+00', '-4.0905670e+00', ' 1.1294752e+01', ' 1.0244801e+01', '-4.4200639e+00', '-8.9590429e+00', ' 1.2582577e+01', ' 6.7873623e-01', '-2.2047360e+00', '-8.2341946e+00', '-3.7031061e-01', ' 1.6760254e+01', '-2.9054602e+00', '-1.3533056e+01', '-6.8554160e+00', '-8.1525857e+00', '-1.0568642e+01', ' 9.3914596e+00', '-1.7145943e+01', ' 1.6741402e+00', '-8.4221280e+00', '-1.6334427e+01', '-1.8096748e+01', '-1.5057025e+01', ' 3.1823933e+01', '-1.7661223e+01', '-1.5504363e+01', '-1.6088876e+01', '-1.0562076e-01', ' 1.4468568e+01', ' 5.9032736e+00', ' 2.3420281e+01', ' 2.0468754e+01', ' 1.7782823e+01', '-1.2802493e+01', ' 2.0563222e+01', ' 2.9877535e+01', '-2.8648928e+01', '-1.1319892e+01', '-9.9514532e+00', ' 1.2532019e+01', ' 1.2681124e+01', '-6.4974263e+00', ' 9.5443435e+00', '-8.8044608e-01', '-2.9520695e+01', '-1.6780641e+01']
['-9.2468938e-01', ' 4.6739894e+00', '-1.4788168e+01', '-2.1235248e+01', ' 1.0069644e+01', ' 1.5824590e+01', ' 1.8113201e+00', '-2.5450567e+01', '-4.7163305e+00', '-4.1081471e+00', '-9.1224133e+00', '-1.3974084e+01', '-1.5594717e+01', '-6.4596116e+00', ' 3.7652422e+00', '-1.8632202e+01', ' 2.1205326e+01', ' 4.3211095e+00', ' 1.4079140e+01', ' 1.9347234e+01', ' 1.2957140e-01', ' 1.6609810e+01', ' 6.1411623e+00', '-1.3496684e+01', ' 5.8333782e+00', ' 1.2086113e+01', ' 2.8678999e+01', '-2.1835298e-01', ' 2.6218612e+01', ' 2.0410123e+01', ' 1.6445152e+01', '-1.9066006e+01', ' 1.9176223e+01', ' 0.0000000e+00', '-1.8206037e+01', '-1.5846770e+01', '-4.4961126e+00', ' 1.6216611e+01', ' 2.0940252e+01', '-4.8295245e-01', '-9.7149591e+00', ' 2.2373508e+01', ' 2.7355559e+01', ' 1.8667948e+01', '-3.0676316e+00', ' 9.7856322e+00', ' 7.1791003e+00', ' 2.8267763e+01', '-2.5642707e+00', ' 1.9181715e+01', ' 1.4705704e+01', '-1.6376082e+01', '-2.3169219e+01', '-1.8905752e+01', '-2.0012298e+01', '-7.0715627e+00', ' 1.6260773e+01', ' 2.5805485e+01', '-1.1765781e+01', ' 1.2233351e+01', ' 1.7883769e+01', ' 1.1922325e+01', ' 5.3883346e+00', '-9.6666723e+00', ' 1.2383673e+01', ' 5.3746700e+00', ' 2.3995040e+01', '-1.2731090e+01', '-2.5075043e+01', '-1.7840677e+01', '-1.5863439e+01', '-1.8355068e+01', ' 2.2949815e+01', '-6.8247953e+00', ' 1.1996932e+01', '-5.0824204e+00', ' 7.3316975e+00', '-9.2726145e+00', '-1.3867211e+01', ' 1.2722031e+01', '-6.1920336e+00', '-3.0223616e+01', '-3.2827346e+01', '-2.7000853e+01', ' 2.3213084e+01', '-1.8719680e+01', '-5.9853972e+00', ' 1.5983036e+01', ' 1.4966469e+01', ' 1.7461828e+01', ' 2.8286964e+01', '-1.7186387e-01', '-2.1941026e+01', ' 7.6708241e+00', ' 2.4738308e+01', '-7.7264037e+00', '-1.4412562e+01', '-1.9479096e+01', ' 3.2079599e+00', '-2.2348429e+01']
['1.0353789e+01', ' 1.9950837e+00', ' 3.5270875e+00', ' 1.1810743e+01', '-1.1324970e+01', ' 3.3886027e+00', ' 2.0930779e+01', ' 1.9050152e+01', '-5.2323876e+00', '-1.8448098e+01', '-9.3485679e+00', ' 1.0571703e+01', '-1.8784564e+01', '-3.7120022e+00', ' 2.2074420e+01', '-1.8706652e+01', '-1.0907827e+01', '-7.1196080e+00', '-2.3058003e+01', '-2.9227211e+01', ' 2.9559185e+01', '-2.2310621e+01', '-1.8153347e+01', ' 2.9295381e+01', '-3.1774646e+00', '-1.8516095e+01', '-2.8205515e+01', '-2.4797594e+01', ' 1.9530448e+01', ' 1.7401813e+01', '-7.8555217e+00', '-7.2078609e-01', '-2.6621474e+01', '-1.8206037e+01', ' 0.0000000e+00', '-2.2745005e+01', ' 2.3152341e+01', ' 9.9505048e+00', ' 2.3920697e+01', ' 1.8194391e+01', ' 2.3762602e+01', '-5.1891735e+00', '-2.1268349e+00', '-8.4886529e+00', '-1.2496327e+01', ' 2.4309516e+01', '-1.5359721e+01', ' 1.7719343e+01', '-2.7687415e+00', ' 2.1956208e+01', ' 1.5679133e+01', '-9.4706817e+00', ' 1.2870273e+01', ' 2.7494339e+01', '-6.5141240e+00', ' 1.9180334e+01', ' 1.2018202e+01', '-1.8712942e+01', '-1.7226485e+00', ' 2.3126176e+01', ' 2.6844697e+01', ' 8.2670224e+00', '-7.5700231e+00', '-5.0831840e+00', '-4.0496906e-03', ' 7.0232073e+00', '-1.7225241e+01', ' 9.0174569e-01', ' 2.3463052e+01', '-4.2752230e+00', ' 2.4066628e+01', '-2.8608710e+01', '-1.9557612e+01', '-1.8082636e+00', '-1.9382295e+01', '-7.9358657e+00', ' 2.2309590e+01', ' 1.7771770e+01', '-1.0958238e+01', ' 9.6062328e+00', ' 3.0933441e+01', '-1.3724978e+01', ' 9.3807632e+00', '-1.3225505e+01', ' 1.5710303e+01', '-2.7849710e+01', '-1.8505104e+01', ' 2.0239992e+01', ' 1.4597527e+01', '-6.4467713e+00', ' 6.2265466e+00', '-2.3565782e+01', ' 8.9616427e+00', ' 5.5668779e-01', ' 1.6913467e+01', '-2.5556596e+01', ' 2.2564883e+01', ' 1.6014035e+01', '-1.3405586e+01', '-1.9118694e+01']
['1.5884841e+01', ' 2.7933448e+00', ' 7.1740557e+00', ' 3.0080522e+01', '-5.6176559e+00', '-1.5089351e+01', '-2.1074187e+01', ' 9.8379467e+00', ' 1.7503601e+01', '-4.6396286e-01', '-1.9174938e+01', ' 2.0662860e+01', '-2.0309296e+01', ' 1.4935915e+01', ' 3.2395932e+01', '-2.8122483e+01', ' 2.2491328e+01', '-1.9013672e+01', ' 8.0209780e+00', ' 2.9444104e+01', ' 2.8687357e+01', '-2.8846973e+01', '-2.4691292e+01', '-2.6980081e+01', '-1.5952455e+01', ' 2.6591451e+01', ' 1.3923712e+00', ' 3.2686116e+01', ' 9.9922817e+00', '-5.6968349e+00', '-2.3805896e+01', ' 7.8645146e+00', '-2.4904375e+01', '-1.5846770e+01', '-2.2745005e+01', ' 0.0000000e+00', ' 2.2466730e+01', ' 2.4159732e+01', ' 1.1115543e+01', '-1.8293379e+01', ' 2.6010864e+00', ' 1.3904920e+01', ' 6.5611048e+00', '-2.2375903e+01', '-1.4103301e+01', ' 1.1569064e+01', ' 1.6247553e+01', ' 1.8006048e+01', '-1.0493336e+00', ' 1.6302872e+01', ' 2.1464829e+01', '-1.9178697e+01', '-1.3940411e+01', '-1.1704513e+01', '-2.1556713e+01', '-5.3997922e+00', ' 1.6134154e+01', '-2.6261110e+01', ' 1.5330837e+00', ' 9.4937104e-01', '-1.6182020e+01', '-6.1275768e+00', ' 1.2636214e+01', ' 1.1387954e+01', ' 2.7485352e+01', ' 4.3811782e+00', '-1.1282247e+01', '-1.2726836e+01', '-3.0664352e+01', '-7.8012453e-01', '-4.3706765e+00', '-2.7766637e+01', '-1.9329801e+01', '-9.3720922e+00', '-1.8310407e+01', ' 2.2272901e+01', ' 4.5195678e+00', ' 1.8483179e+01', ' 1.5159815e+01', ' 9.0927517e+00', ' 2.9740200e+01', ' 3.3945045e+01', ' 3.3747889e+01', '-2.2932344e+01', '-2.0216888e+00', ' 3.4808127e+01', '-2.8251523e+01', '-1.9558255e+01', ' 1.1897761e+01', ' 2.2812171e+01', '-3.3811121e+01', '-2.3611255e+01', '-2.7246426e+01', '-2.6454865e+01', ' 1.7302323e+01', ' 8.2010726e+00', ' 2.7798467e+01', ' 2.7042207e+01', '-2.9688367e+01', '-5.0403436e+00']
['6.4962815e+00', '-2.2328297e+01', ' 2.1565184e+01', '-1.4673621e+01', ' 4.5233339e+00', '-1.0080087e+01', ' 5.1369456e-01', ' 9.5078227e-01', '-1.7953573e+01', ' 1.5711897e+01', '-2.6182809e+00', ' 8.7249867e+00', ' 1.5400504e+01', ' 4.6218367e+00', ' 2.2131453e+01', '-1.1213775e+01', '-9.9828765e+00', '-3.1766054e+00', '-4.7799204e-01', '-1.1911302e+01', ' 2.7831169e+01', ' 2.3078584e+01', '-3.1817712e+01', '-1.9926789e+01', ' 9.2588589e-01', '-1.5731297e+01', '-1.5216942e+00', ' 2.5270552e+01', ' 1.3360376e+01', ' 7.1182021e+00', ' 6.8212962e+00', '-3.2274711e+01', ' 1.6924969e+01', '-4.4961126e+00', ' 2.3152341e+01', ' 2.2466730e+01', ' 0.0000000e+00', '-2.4225043e+01', '-4.6949185e+00', '-2.6117274e+01', ' 5.9043992e+00', ' 2.7774665e+01', '-2.7567326e+01', ' 1.9997223e+01', '-1.4018370e+01', ' 3.3759399e+00', ' 1.1201763e+01', '-2.3545191e+01', '-2.5647760e+01', '-2.8846787e+01', ' 7.2826458e+00', ' 1.7826454e+01', ' 2.5213159e+01', ' 1.4037695e+01', '-9.1104664e+00', '-1.0648320e+01', '-1.9743007e+01', '-1.4988288e+01', '-8.0613398e+00', ' 1.7565597e+01', '-1.1565304e+01', '-2.7434148e+01', ' 2.1435755e+01', ' 7.5097990e+00', '-1.0353086e+00', ' 2.2756659e+01', ' 2.5803512e+01', '-8.2491570e+00', '-2.4598448e+01', '-8.2875486e+00', ' 3.0747938e+01', '-1.1023326e+01', ' 2.2003119e+00', '-4.5015713e+00', ' 3.4432569e+01', '-1.3086812e+01', '-8.7144044e+00', '-1.6649375e+00', ' 2.0824351e+01', '-9.5879305e+00', ' 3.7738631e+00', '-2.1552585e+01', '-2.2626808e+01', '-2.4979880e+01', '-2.6286300e+01', ' 2.4115381e+00', '-3.2810143e+01', '-1.9196001e+01', '-1.0373879e+01', ' 3.6318788e+00', ' 5.7328352e+00', '-4.4923365e+00', '-1.5678074e+01', ' 1.6505558e+01', '-7.2226655e+00', '-1.4938922e+01', '-1.2603471e+01', '-7.5212186e+00', ' 8.5879646e+00', '-2.2859528e+01']
